ID в ИС ГТИБД,Название,Вид объекта,Тип учреждения,Адрес,Описание,Координаты,Описание ориг,Историческая справка,Заметки,Режим работы
3321,выставочные залы особняка румянцева,выставочные залы,военно-исторический,"190000, Санкт-Петербург, Английская наб., 44",особняк граф румянцев самый начало один центр культурный жизнь петербург граф просветитель меценат собирать уникальный коллекция различный древность старинный рукопись церковный книга прочий памятник российский история культура,"59.932623,30.289524","Особняк графа Румянцева с самого начала был одним из центров культурной жизни Петербурга. Граф был просветителем и меценатом, он собрал уникальную коллекцию различных древностей, старинных рукописей, церковных книг и прочих памятников российской истории и культуры.",,,
4388,выставочный зал правительства ленинградской области смольный,выставочные залы,ведомственное учреждение,"191311, Санкт-Петербург, ул. Смольного, 3",проводиться выставка представлять культурный жизнь ленинградский область – культура быт населять народ история город замок крепость поместье выдающийся деятель русский история культура,"59.951182,30.396707","Здесь проводятся выставки, представляющие культурную жизнь Ленинградской области – культуру и быт населяющих ее народов, историю городов, замков, крепостей, поместий и выдающихся деятелей русской истории и культуры.",,,
4390,выставочный центр ленэкспо,выставочные залы,негосударственное учреждение,"199106, Санкт-Петербург, Большой пр. В.О., 103",ленэкспо сегодня – крупный комплекс россия самый большой конгрессный выставочный центр северо-запад располагать берег финский залив центр международный торговый путь,"59.931774,30.235047","«Ленэкспо» сегодня – один из крупнейших комплексов в России и самый большой конгрессный и выставочный центр на Северо-Западе, расположенный на берегу Финского залива в центре международных торговых путей.",,,
4391,выставочный центр санкт-петербургского союза художников,выставочные залы,негосударственное учреждение,"190000, Санкт-Петербург, Большая Морская ул., 38",выставочный центр санкт-петербургский союз художник приглашать ценитель истинный искусство посещать художественный выставка концерт творческий конкурс инсталляция ежегодно стена дом большой морской проходить горячо любимый петербуржец осенний весенний выставка андреевский флаг русский север день победа общегородской выставка детский творчество,"59.93296,30.311386","Выставочный Центр Санкт-Петербургского Союза Художников приглашает всех ценителей истинного искусства посетить художественные выставки, концерты, творческие конкурсы и инсталляции. Ежегодно в стенах дома на Большой Морской проходят горячо любимые петербуржцами Осенняя и  Весенняя выставки, ""Андреевский Флаг"", ""Русский Север"", ""День Победы"", ""Общегородская выставка детского творчества"".",,,
4424,государственный музей городской скульптуры новый выставочный зал,выставочные залы,гос городское учреждение,"191167, Санкт-Петербург, Невский пр., 179/2 (вход с Чернорецкого пер., 2)",новый выставочный зал известный город площадка проведение разнообразный креативный выставочный проект проходить тематический экспозиция фонд музей персональный выставка российский художник скульптор выставка современный искусство международный проект презентация кинопоказ,"59.923085,30.385137","Новый выставочный зал известен в городе как площадка для проведения разнообразных креативных выставочных проектов. Здесь проходят тематические экспозиции из фондов музея, персональные выставки российских художников и скульпторов, выставки современного искусства, международные проекты, презентации, кинопоказы.",,,
4425,государственный музейно-выставочный центр росфото,выставочные залы,гос федеральное учреждение,"191186, Санкт-Петербург, Большая Морская ул., 35",государственный музейный-выставочный центр росфото основывать 2002 год министерство культура российский федерация росфото осуществлять деятельность весь направление актуальный проблематика связывать фотография изображение выставочный научно-исследовательский программа область визуальный культура свой деятельность центр активно сотрудничать c авторитетный международный музейный архивный организация культурный институт российский музей архив росфото состоять международный союз музей icom,"59.933406,30.309921","Государственный музейно-выставочный центр РОСФОТО основан в 2002 году Министерством культуры Российской Федерации. РОСФОТО осуществляет деятельность по всем направлениям актуальной проблематики, связанной с фотографией и изображением: выставочные и научно-исследовательские программы в области визуальной культуры. В своей деятельности Центр активно сотрудничает c авторитетными международными музейными и архивными организациями и культурными институтами, с российскими музеями и архивами. РОСФОТО состоит в Международном союзе музеев ICOM.",,,
4426,манеж кадетского корпуса- банкетный зал,выставочные залы,негосударственное учреждение,"199034, Санкт-Петербург, Университетская наб., 13",площадка событие совершенно разный тип конференция модный показ концерт банкет выставка выпускной пр,"59.939271,30.298162","Площадка для событий совершенно разного типа: конференций, модных показов, концертов, банкетов, выставок, выпускных и пр.",,,
4427,музейно-выставочный центр петербургский художник,выставочные залы,негосударственное учреждение,"190000, Санкт-Петербург, наб. Р. Мойки, 100",петербургский художник - крупный коллекция реалистический искусство санкт-петербург 2500 работа находить наиболее яркий произведение ленинградский школа живопись второй половина xx век среди автор - виктор орешник борис угаров виктор рейхет иван варичев николай галахов маргарита рубан георгий татарник николай репин энгельс козлов многий другой работа этот художник также находиться фонд русский музей третьяковский галерея цель центр - познакомить широкий публика работа хороший представитель русский реалистический направление живопись рисунок выставка петербургский художник проводиться каждый месяц,"59.927594,30.294919","«Петербургский художник» - крупнейшая коллекция реалистического искусства в Санкт-Петербурге, более 2500 работ. У нас вы найдете наиболее яркие произведения Ленинградской школы живописи второй половины XX века. Среди авторов - Виктор Орешников, Борис Угаров, Виктор Рейхет, Иван Варичев, Николай Галахов, Маргарита Рубан, Георгий Татарников, Николай Репин, Энгельс Козлов и многие другие. Работы этих художников также находятся в фондах Русского музея и Третьяковской галереи. Цель центра - познакомить широкую публику с работами лучших представителей русского реалистического направления в живописи и рисунке. Выставки петербургских художников проводятся каждые три месяца.",,,
9254,конгрессно-выставочный центр экспофорум,выставочные залы,негосударственное учреждение,"Адрес: Санкт-Петербург, Петербургское шоссе, 64/1",экспофорум новый конгрессный-выставочный центр открываться санкт-петербург 7 октябрь 2014 год это самый современный европа россия площадка проведение деловой развлекательный мероприятие любой масштаб формат - выставка конгресс форум спортивный культурный событие конгрессный-выставочный центр экспофорум - это самый крупный специализированный площадка санкт-петербург состав выставочный павильон конгресс-центр общий вместимость 30 000 человек 68 конференц-зал первый петербург отель мировой бренд hilton бизнес-центр таможенный-логистический комплекс кафе ресторан другой объект сопутствующий инфраструктура оператор площадка выступать компания экспофорум-интернэшнл компания экспофорум-интернэшнл оказывать туристический услуга - индивидуальный групповой обзорный экскурсия санкт-петербург пригород экскурсия река канал услуга гид-переводчик посещение музей дворец,"59.76125,30.353705","ЭКСПОФОРУМ новый конгрессно-выставочный центр, открывшийся в Санкт-Петербурге 7 октября 2014 года. Это самая современная в Европе и России площадка для проведения деловых и развлекательных мероприятий любого масштаба и формата - выставок, конгрессов, форумов, спортивных и культурных событий. Конгрессно-выставочный центр «ЭКСПОФОРУМ» - это самая крупная специализированная площадка в Санкт-Петербурге. В его составе: три выставочных павильона, конгресс-центр общей вместимостью 30 000 человек (68 конференц-залов), первые в Петербурге отели мирового бренда HILTON, бизнес-центр, таможенно-логистический комплекс, кафе, рестораны и другие объекты сопутствующей инфраструктуры. Оператором площадки выступает компания ЭкспоФорум-Интернэшнл. Компания ЭкспоФорум-Интернэшнл оказывает туристические услуги - индивидуальные и групповые обзорные экскурсии по Санкт-Петербургу и пригородам, экскурсии по рекам и каналам, услуги гидов-переводчиков, посещение музеев и дворцов.",,,
9256,выставочный зал цбс московского района,выставочные залы,гос учреждение,"196070, Санкт-Петербург, пл. Чернышевского, 6",выставочный зал филиал 3 являться год неотъемлемый часть цбс весь система учреждение культура московский район дальнейший стремиться создавать условие воспитание реализация потенциал творчески ориентировать человек,"59.868528,30.317395","Выставочный зал филиала № 3, являющийся уже много лет неотъемлемой частью ЦБС и всей системы учреждений культуры Московского района и в дальнейшем будет стремиться создавать условия для воспитания и реализации потенциала творчески ориентированных людей.",,,
9352,санкт-петербургский дом архитектора особняк половцева,выставочные залы,гос учреждение,"190000, Санкт-Петербург, улица Большая Морская, 52",зал дом архитектор проводиться общественный мероприятие союз архитектор выставка архитектурный проект художественный работа,"59.93144,30.304675","В залах Дома Архитектора проводятся общественные мероприятия Союза архитекторов, выставки архитектурных проектов и художественных работ.",,,
