ID в ИС ГТИБД,Вид объекта,Название,Тип учреждения,Описание,Историческая справка,Заметки
5827,религиозные объекты,армянская апостольская церковь,некоммерческая организация,здание было построено архитектором ю м фельтеном в глубине участка в створе им же спроектированных домов № 40 и 42 фасады которых вытянуты по линии невского проспекта строительство северного флигеля производилось на десятилетие позднее возможно помощником фельтена арх егором соколовым из-за этого и главный фасад церкви неизбежно должен был быть ориентирован на невский а главный вход в храм- находиться не с западной как принято а с южной стороны при том что единственная апсида церкви ориентирована на восток внутреннее пространство церкви приобретает достаточно сложный характер в основу архитектурного решения фасада зодчий положил те же принципы которыми он руководствовался и создавая чуть ранее лютеранскую церковь св екатерины на васильевском острове но при этом заметно усилил его декоративное оформление а сам портик получил более сильный вынос и дополнительные боковые стенки с торцов оформленные пилястрами для того чтобы придать большее разнообразие поверхности стены используются разные формы проёмов прямоугольные и арочные в первом ярусе и небольшие круглые окошки сочетающиеся с квадратными филёнками- во втором вместо строгих капителей тосканского ордера здесь в колоннах портика и сдвоенных пилястрах закрепляющих углы фасада фельтен использовал ионические капители с висюльками а на стенах между оконными проёмами первого и второго яруса размещены барельефы воспроизводящие типичный барочный мотив - головки путти в облаках ангелочки же водружают крест над входной дверью в храм поле фронтона заполняет многофигурная композиция католикос григор просветитель свершает крещение царя трдата iii в интерьере главный элемент декора - 20 парных колонн композитного ордера размещённых по углам подкупольного квадрата и в преддверии алтарной апсиды облицованные жёлтым искусственным мрамором с белыми капителями они выразительно смотрятся на фоне беломраморных стен над колоннами - не прерываясь по всему периметру помещения - тянется декоративный карниз с дентикулами,22 мая 2 июня 1770 года по челобитной главы армянской общины и л лазарева ованес лазарян с прочими армянами последовало устное повеление екатерины ii дозволить им построить в петербурге церковь место для церкви было отведено на участке бывшей малой придворной конюшни в знатном у столице положении на большом проспекте против каменного гостиного двора почему и сооружение церкви требовало немалого капиталу работы велись по проекту ю м фельтена достаточно быстро и уже в 1772 году церковь была освящена,
5828,религиозные объекты,армянская апостольская церковь святого воскресения,некоммерческая организация,возведенная в традициях русского классицизма по проекту вероятно архитектора фельтена небольшая строгая церковь была освящена в 1793г в советский период ее закрыли использовали под мастерскую скульптора в 1988г усердием духовного пастыря армян санкт-петербурга иеромонаха езраса нерсисяна ныне глава ново-нахичеванской и российской епархии армянской апостольской церкви епископ езрас храм в разрушенном обезображенном виде вернули прихожанам по завершении реставрации в 1992г храм был освящен и сегодня в нем совершаются богослужения,храм строился по инициативе и на средства главы армянской общины петербурга коллежского советника ивана лазаревича лазарева в 1791 году на русско-шведской войне погиб единственный сын ивана лазарева артемий и церковь первоначально строилась в качестве семейной усыпальницы освящение состоялось в 1793 году проект церкви приписывают архитектору фельтену который также строил армянские церкви в петербурге церковь сурб катарине и москве крестовоздвиженская строили храм архитекторы е т соколов а порто и с п берников,
5829,религиозные объекты,санкт-петербургский буддийский храм дацан гунзэчойнэй,некоммерческая организация,оригинальный храм из красно-фиолетового гранита – настоящее произведение искусства благодаря необычному оттенку облицовочного камня его часто называют аметистовым храмом питерский дацан построен в соответствии с канонами архитектуры которые использовались для соборных храмов тибета цогчен-дуган в начале прошлого века барановский европеизировал традиционный проект и внес в него элементы модерна здание поражает ярким декором фасадов позолотой и красочными витражами эскизы для которых создал известный художник николай константинович рерих в начале истории дацана из мест традиционного распространения учения будды – таиланда тибета монголии и бурятии сюда привозили редкие святыни и реликвии в годы опустошения все буддийские артефакты были утрачены но благодаря спонсорам ситуация постепенно исправляется в главном алтаре дацана можно увидеть скульптуру будды высотой 25 м сделанную мастерами из монголии по старой традиции она изготовлена из папье-маше и покрыта сусальным золотом изящный трон будды из нефрита украшен фигурами мифологических существ,санкт-петербургский буддийский храм был построен в 1909-1915 гг по инициативе выдающегося бурятского ламы и ученого агвана лобсана доржиева 185354-1938 архитектурный проект храма разработан студентом института гражданских инженеров березовским николаем матвеевичем и архитектором барановским гавриилом васильевичем по образцу тибетского соборного храма цогчен-дуган который однако был подвергнут существенной европеизации в духе северного модерна строительством руководили архитекторы г в барановский и ра берзен на заключительном этапе а также специально созданный комитет в состав которого входили известные российские востоковеды и знатоки буддизма академики вв радлов и сф ольденбург фи щербатской вл котвич ад руднев кн ээ ухтомский художники нк рерих и вп шнейдер а также автор утверждённого проекта г в барановский средства на постройку были отчасти пожертвованы доржиевым и xiii далай-ламой отчасти собраны среди верующих в бурятии и калмыкии храм был освящен 10 августа 1915 г и получил тибетское название kun la brtse mdzad thub dbang mchhos byung bai gnas источник святого учения всесострадающего владыки-отшельника,
5830,религиозные объекты,коломяжская мечеть,некоммерческая организация,коломяжскую мечеть расположившуюся в приморском районе на углу парашютной и репищевой улиц спроектировал архитектор рашат ахметханов ее высота - 23 метра с полумесяцем - 26 рядом ввысь поднимается 39-метровый минарет главный вход с севера оформлен трехметровым полумесяцем а западный - высеченными на мраморных досках изречениями из корана мечеть в коломягах - квартальная она предназначена для пяти обязательных ежедневных намазов по традиции внутри мечеть разделена на мужскую и женскую части мусульманки могут молиться на втором этаже для них сделан отдельный вход новая мечеть рассчитана на тысячу прихожан - 700 мужчин и 300 женщин к тому же изначально все спланировано так что по праздникам можно совершать намаз и во дворе храма пол мечети устлан восточными коврами а михраб - специальная ниша в стене указывающая направление на священный для исламистов город мекку - изготовлена в турции мечеть  открыта в июле 2009 года  в этом же здании обосновался исламский институт  как и соборная мечеть квартальная построена на средства татар петербурга для всех мусульман в петербурге нет разногласий между мусульманами хотя в исламе так же как например и в христианстве существует множество религиозных направлений основные группы - шииты и сунниты из-за этого на востоке то и дело вспыхивают войны но в нашем городе по словам зампреда духовного управления мусульман камиля исляева все мусульмане - братья и разночтений священных писаний нет тем более конфликтов на религиозной почве,квартальная джума-мечеть построена по заказу духовного управления мусульман санкт-петербурга и северо-западного региона для верующих проживающих в приморском и выборгском районах города в получении места под строительство принимала деятельное участие депутат государственной думы этнограф кандидат исторических наук гв старовойтова член татарского национально-культурного общества нур постановление о строительстве выдано в апреле 2005 года генеральным подрядчиком в ходе тендера стало ооо профиль строительство осуществилось на пожертвования закладка мечети состоялась 25 июня 2006 года в день проведения общегородского праздника петербургский сабантуй в основание фундамента под михрабом заложена капсула с изречением из корана деревянный резной михраб указывающий направление на мекку выполнен мастерами из турции квартальная мечеть была открыта 16 июля 2009 года после скоропостижной кончины муфтия санкт-петербурга и северо-западного региона жафяра насибулловича пончаева 1940-2012 на внеочередном экстренном заседании меджлиса было принято решение о присвоении джума-мечети имени покойного муфтия который был инициатором строительства и возглавлял мусульманскую общину ленинграда - санкт-петербурга в течение 35 лет мемориальная мечеть - место проведения всероссийских конкурсов чтецов корана и санкт-петербургского детского конкурса чтецов корана,
5831,религиозные объекты,соборная мечеть санкт-петербурга,некоммерческая организация,здание соборной мечети – яркий образец архитектурного стиля известного как северный модерн несмотря на свой явно восточный облик сооружение прекрасно вписывается в окружающую среду города сегодня соборная мечеть относится к ведению духовного управления мусульман санкт-петербурга и северо-западного региона россии обладает статусом памятника архитектуры в архитектурном облике мечети в санкт-петербурге удивительным образом сочетаются лаконичная стилистика модного в начале xx века модерна и изощренный декор магометанского зодчества монументальные фасады из нарочито грубо отделанных гранитных плит неожиданно гармонично включают цветастые элементы традиционной культовой архитектуры мусульманского востока образцом для декорирования купола послужил средневековый мавзолей гур-эмир в самарканде,еще в конце xviii века около 500 нижних чинов и офицеров мусульманского вероисповедания служивших в войсках столичного гарнизона подали начальству прошение о возведении в городе молитвенного сооружения по заказу военного ведомства через несколько лет были разработаны проекты здания один из них принадлежал придворному архитектору луиджи руска оставившему яркий след в облике петербурга однако его проект мечети поданный на высочайшее рассмотрение в 1803 году остался нереализованным как и другие предложения только в 1898 году столичные власти дозволили учредить мусульманское благотворительное общество которому было разрешено провести сбор пожертвований на строительство соборной мечети в санкт-петербурге почетными членами этой организации были эмир бухарский и хан хивинский внесшие на богоугодное дело значительные денежные взносы но реальная возможность для осуществления мечты питерских мусульман открылась лишь в начале следующего столетия когда под натиском революционных событий потрясших россию в 1905-1906 годах император николай ii подписал манифест о свободе вероисповедания в мае 1906 года был создан комитет по постройке соборной мечети в петербурге во главе с офицером главного штаба известным востоковедом абдулазизом давлетшиным на конкурс объявленный императорским обществом архитекторов было представлено 45 проектов члены жюри а в их число входили академики архитектуры и профессора академии художеств избрали работу молодого зодчего николая васильева под строительство мечети были выкуплены земельные участки у кронверкского проспекта фундамент здания заложили в феврале 1910 года в присутствии эмира бухарского сеида абдулахад-хана генерал-лейтенанта князя феликса юсупова посланника персидского шаха и других почетных гостей о чем сообщала серебряная табличка замурованная в основание сооружения соборная мечеть приняла верующих уже через три года но отделочные работы продолжались в конце 1917 года пришедший к власти совет народных комиссаров приказал арестовать банковские счета комитета по сооружению мечети в петрограде строительные работы были прерваны остались незавершенными интерьеры молитвенного зала майоликовые элементы для декора изготовляли на фабрике фирмы гельвейн-ваулин в гатчине но в революционные дни предприятие сгорело и более не возобновлялось уникальные формы для отливок были уничтожены тем не менее все же удалось завершить керамические кровли витражное остекление окон установить у здания красивую чугунную решетку отлитую еще на дореволюционный заказ последним подарком эмира бухарского стал сотканный в тебризе огромный ковер покрывавший 400 м2 его доставили в петроград в 1920 году вскоре городские власти закрыли мечеть в ее помещениях устроили склад молитвенное здание вернули мусульманской общине в 1955 году в изрядно поврежденной мечети неоднократно проводились реставрационные работы разрушившиеся керамические фрагменты заменялись элементами из глазурованного строительного фарфора для обновления настенных орнаментальных росписей приглашались турецкие мастера последняя реставрация завершилась в 2015 году,часы работы не указаны можно записаться на экскурсию - 7 911 749-66-86
5832,религиозные объекты,большая хоральная синагога санкт-петербуга,некоммерческая организация,большая хоральная синагога в санкт-петербурге расположенная на лермонтовском проспекте является архитектурным памятником города и еврейской культуры в целом в отличие от православной церкви она выполняет не только религиозную функцию но и образовательно-просветительскую евреи собираются здесь чтобы помолиться пообщаться обменяться опытом на территории синагоги есть магазин ресторан гостевой дом библиотека детские сады и школы пансионы проводятся занятия и мастер-классы есть клуб знакомств так же каждый желающий может посетить синагогу вместе с экскурсионной группойсамо здание выполненное в мавританском стиле выглядит очень величественно в 1980 оно получило статус памятника архитектурного значения если говорить об исконно еврейских традициях постройки таких мест то можно с уверенностью сказать что какого-то определенного требования по стилю у них нет к тому же при строительстве изначально планировали сделать храм более скромнымсамо здание выполнено в несколько ярусов его венчает большой купол сферической формы фасад имеет терракотово-красный цвет он украшен резалитом а вход оформлен аркой и парными колонами в здании много окон как и требует иудейская вера – во время молитв люди должны видеть небо окружена синагога кованой оградойвестибюль еврейского храма славится своей акустикой – голос будто усиливается и даже шепотом сказанные слова будут услышаны через 10 метров на востоке синагоги находятся свитки торы – по легенде именно они были переданы моисею люстра в главном зале покрыта настоящим серебром в центре находятся скамьи из ценной породы дерева некоторые места помечены металлическими табличками с именами самых важных людей еврейской общины сам зал светлого оттенка украшен витражами и белыми колоннами,в середине xix века еврейская община санкт-петербурга насчитывала около 10 тысяч человек у неё было несколько небольших молелен по всему городу но для удовлетворения религиозных нужд этого было недостаточно поэтому по инициативе общины было начато строительство новой синагоги главными спонсорами выступили барон гинцбург и первый председатель еврейской общины города предприниматель и меценат с с поляков проект здания выполнили архитекторы л и бахман и и и шапошников при участии в в стасова и н л бенуа строительство велось архитектором а в маловым и было завершено в 1893 году здание синагоги построено в восточном мавританском стиле вестибюль обладает уникальной акустикой - слова произнесённые шёпотом можно услышать на расстоянии более 10 метров после постройки синагоги были закрыты все молельни в городе по постановлению комитета министров 1869 года это привело к трудностям для отправления обрядов так как здание не могло вместить всех в нём нуждающихся в 1909 году вдоль участка синагоги вместо ветхого деревянного был выстроен каменный забор 29 июня 1929 года вышло постановление президиума ленсовета о закрытии еврейской религиозной общины 17 января 1930 года решением президиума леноблисполкома была закрыта и синагога однако после жалобы евреев в высший законодательный орган страны того времени - вцик - 1 июня 1930 года синагога была открыта вновь с 1943 по 1973 год раввином ленинградской синагоги был раввин лубанов перед xxii летними олимпийскими играми 1980 года проводившимися в москве ленинграде и таллине синагога попала в число основных экскурсионных объектов поэтому в 1978 году государство выделило средства на реконструкцию и ремонт здания работы проводились под руководством к а плоткина в 1991 году по инициативе общества шамир была открыта дневная школа при синагоге в мае 2012 года произошёл акт вандализма - на заборе синагоги была нарисована свастик 8 декабря 2013 года синагога отметила своё 120-летие к этому событию был написан новый свиток торы выпущен почтой россии конверт юбилейная медаль в трёх вариантах золотая серебряная простая в 1200 выстрел с нарышкина бастиона петропавловской крепости впервые в истории санкт-петербурга был дан в честь юбилея синагоги его произвели главный раввин санкт-петербурга м-м певзнер и председатель петербургской еврейской общины м д грубарг,
5833,религиозные объекты,римско-католический приход успения пресвятой девы марии в санкт-петербурге,некоммерческая организация,собор успения пресвятой девы марии в санкт-петербурге дает возможность гостям и горожанам прикоснуться к традициям католической церкви в россии познакомиться с единственной в стране католической семинарией насладиться классической музыкой в органном исполнении собор успения пресвятой девы марии является по форме латинским крестом он имеет общий вход с католической семинарией закрыт ее зданием со стороны улицынаходясь в тихом неприметном месте собор граничит с польским садом  бывшей усадьбой поэта державинасобор изнутри выглядит просторно и аскетично с белыми стенами и сводами обязательной атрибутикой католической церквив помещении прекрасная акустика есть великолепный орган который часто собирает на концерты прихожан и поклонников ни с чем не сравнимой органной музыки,в 1849 году резиденция главы католической церкви в российской империи была перенесена из могилёва в санкт-петербург несмотря на то что архиепархия сохранила имя могилёвская строительство собора на территории примыкающей к резиденции архиепископа шло с 1870 по 1873 годы автором первоначального проекта собора был архитектор в и собольщиков после его смерти строительство заканчивалось под руководством архитектора е с воротилова освящение кафедрального собора архиепископом антонием фиалковским состоялось 12 апреля 1873 года часть церковной утвари нового собора была перевезена из могилёва к 90-м годам xix века приход успенского собора увеличился настолько что встал вопрос о его расширении работы по расширению проходили в 1896-1897 годах вместимость храма была увеличена с 750 до 1 500 человек были пристроены боковые приделы изменён внутренний интерьер обновлена роспись также были заменены боковые алтари кроме того их украсили бронзовыми статуями 23 декабря 1897 года перестроенный собор был повторно освящён в 1902 году в здание архиепархиального дома расположенное рядом с собором была переведена католическая семинария а резиденция архиепископа переехала в находящийся неподалёку дом державина на набережной фонтанки приход успения постоянно рос и перед революцией 1917 года насчитывал около 15 - 20 тысяч прихожан после октябрьской революции для храма успения как и для всей католической церкви в россии наступили тяжёлые времена в 1918 году была закрыта семинария в 1920-х годах властями предпринимались несколько попыток закрыть и собор однако приходу удалось продержаться до 1930 года когда храм был окончательно закрыт после великой отечественной войны здание собора пострадавшее от попаданий бомб было переделано под нужды конструкторского бюро восстановление нормальной деятельности католической церкви в россии началось в начале 90-х годов xx века в 1994 году был вновь зарегистрирован приход успения пресвятой девы марии в сентябре 1995 года здание храма было возвращено церкви в том же году было возвращено и здание семинарии куда переехала из москвы высшая католическая семинария мария - царица апостолов масштабные работы по реставрации храма шли более двух лет 16 февраля 1997 года в ещё не до конца отреставрированном соборе возобновились богослужения а 24 мая 1998 года архиепископ тадеуш кондрусевич освятил собор успения пресвятой девы марии,
5834,религиозные объекты,монастырский храм святого антония чудотворца,некоммерческая организация,здание монастыря построено в 2008 году архитектор леонардо бруджиотти фасады скромные в монастырском духе,здание монастыря находится на 9-й красноармейской улице 10 в адмиралтейском - районе ранее в нём располагался производственный цех а до революции общежитие общества святой ксении для бедным женщинам в петрограде приют был предназначен для 70 учащихся и трудящихся девиц францисканцы приобрели сооружение в 1990-х годах когда в городе возобновила работу высшая духовная католическая семинария в начале 2000-х прошла масштабная реконструкция старое сооружение фактически было разобрано а на его месте сооружён монастырский комплекс площадью 16 тыс кв метров с кельями часовней и служебными помещениями внутри обустроен дворик-патио освящение храма в монастыре провёл председатель конференции католических епископов россии митрополит паоло пецци сейчас при монастыре действует центр христианской культуры и францисканской духовности,
5835,религиозные объекты,базилика святой екатерины александрийской,некоммерческая организация,еще в начале xviii века католическое вероисповедание в россии насчитывало единицы своих сторонников прозападная политика проводимая петром i привела к появлению в стране большого количества иностранных специалистов многие из которых были католиками необходимость в постройке культовых сооружений стала очевидна базилика святой екатерины александрийской строилась под руководством разных архитекторов поэтому сооружение представляет собой некоторый архитектурный компромисс если посмотреть на план здания можно увидеть католический крест с поперечным нефом длина храма – сорок четыре метра главный фронтон представлен аркой опирающейся на колонны на парапете расположенном над фасадом находятся фигуры четырех апостолов и группа ангелов несущих крест это старейшие в городе скульптуры хранящиеся под открытым небом интерьер базилики полностью уничтожили пожары поэтому то что мы видим сегодня – результат работы реставраторов по сохранившимся чертежам выглядит базилика внутри достаточно скромно внимание привлекает огромный крест чудом сохранившийся со времен открытия храма стены выкрашенные в светло-желтый цвет вызывают ощущение льющегося со всех сторон солнечного света,католический приход святой екатерины александрийской был основан в 1716 году в 1738 году императрица анна иоанновна подписала разрешение на возведение католической церкви на невской перспективе невском проспекте однако строительство шло с большими проблемами первоначальный проект был разработан пьетро антонио трезини начавшиеся под его руководством работы были прекращены в 1751 году после отъезда зодчего на родину попытка закончить строительство в 60-х годах xviii века предпринятая архитектором ж б валлен-деламотом также была неудачной всё это время община служила во временном храме зал для которого был оборудован в соседнем доме на месте современного дома 34 на невском проспекте лишь в 1782 году строительство храма было закончено под руководством итальянских архитекторов минчиани и а ринальди последний был старостой общины 7 октября 1783 года храм получивший статус собора был освящён в честь святой екатерины александрийской покровительницы императрицы екатерины ii,
5836,религиозные объекты,приход матери божией лурдской римско-католической церкви в санкт-петербурге,некоммерческая организация,облик католического храма вышел на редкость аскетичным и строгим в архитектуре здания использованы мотивы романского стиля фасад церкви выходящий на ковенский пер асимметричен он облицован большими блоками грубо около того гранита боковую часть фасада венчает высокая четырехгранная башня с полуциркульными окнами над вторым ярусом этой башни возвышается восьмигранный барабан с заостряющимся кверху куполом на другой стороне фасада - лишь небольшая башенка резко отличающаяся по своему силуэту в центре главного фасада расположен портал в идее арки украшенной колоннами имеются еще два входа в здание они расположены симметрично по разным сторонам от арки и ведут в нижний этаж храма на верхнем этаже - большой просторный зал стены которого декорированы колоннами в готическом стиле внутреннее убранство храма также отличается строгостью и простотой,построен в 1903-1909 годах для нужд французской католической общины по проекту архитекторов л н бенуа и м м перетятковича освящён 5 декабря 22 ноября по старому стилю 1909 года епископом иоанном цепляком с 1938 по 1992 год храм оставался единственной действовавшей католической церковью в ленинграде,
