ID в ИС ГТИБД,Вид объекта,Название,Краткое название,Название (англ.),Тип учреждения,Адрес (ручной),Телефоны,Сайт,Электронная почта,Описание,Описание (англ.),Историческая справка,Историческая справка (англ.),Заметки,Режим работы,Режим работы (англ.),Координаты
5827,Религиозные объекты,Армянская апостольская церковь,Армянская Апостольская Церковь,St. Catherine's Church,некоммерческая организация,"Санкт-Петербург, Невский пр., д. 40-42",+7(812)5704108; +7(812)7105061,armenian-church.org,arm_church_spb@mail.ru,"Здание было построено архитектором Ю. М. Фельтеном в глубине участка, в створе им же спроектированных домов № 40 и 42, фасады которых вытянуты по линии Невского проспекта (строительство северного флигеля производилось на десятилетие позднее, возможно, помощником Фельтена арх. Егором Соколовым). Из-за этого и главный фасад церкви неизбежно должен был быть ориентирован на Невский, а главный вход в храм- находиться не с западной, как принято, а с южной стороны. При том что единственная апсида церкви ориентирована на восток, внутреннее пространство церкви приобретает достаточно сложный характер. В основу архитектурного решения фасада зодчий положил те же принципы, которыми он руководствовался и создавая чуть ранее лютеранскую церковь Св. Екатерины на Васильевском острове, но при этом заметно усилил его декоративное оформление, а сам портик получил более сильный вынос и дополнительные боковые стенки, с торцов оформленные пилястрами. Для того чтобы придать большее разнообразие поверхности стены, используются разные формы проёмов: прямоугольные и арочные в первом ярусе и небольшие круглые окошки (сочетающиеся с квадратными филёнками)- во втором. Вместо строгих капителей тосканского ордера здесь в колоннах портика и сдвоенных пилястрах, закрепляющих углы фасада, Фельтен использовал ионические капители «с висюльками», а на стенах между оконными проёмами первого и второго яруса размещены барельефы, воспроизводящие типичный барочный мотив - головки путти в облаках. Ангелочки же водружают крест над входной дверью в храм. Поле фронтона заполняет многофигурная композиция: «Католикос Григор Просветитель свершает крещение царя Трдата III». В интерьере главный элемент декора - 20 парных колонн композитного ордера, размещённых по углам подкупольного квадрата и в преддверии алтарной апсиды. Облицованные жёлтым искусственным мрамором, с белыми капителями, они выразительно смотрятся на фоне беломраморных стен. Над колоннами - не прерываясь, по всему периметру помещения - тянется декоративный карниз с дентикулами.",,"22 мая (2 июня) 1770 года по челобитной главы армянской общины И. Л. Лазарева (Ованес Лазарян) «с прочими армянами» последовало устное повеление Екатерины II «дозволить им построить в Петербурге церковь». Место для церкви было отведено на участке бывшей Малой придворной конюшни «в знатном у столице положении на Большом проспекте, против каменного гостиного двора, почему и сооружение церкви требовало немалого капиталу...». Работы велись по проекту Ю. М. Фельтена достаточно быстро и уже в 1772 году церковь была освящена.",,,"09:00–19:00, ежеднвно",,"59.957114107,30.303121017"
5828,Религиозные объекты,Армянская Апостольская Церковь Святого Воскресения,Церковь Святого Воскресения,St. Ressurection Church,некоммерческая организация,"Санкт-Петербург, наб. реки Смоленки, д.29",+7(812)3505301,armenian-church.org,arm_church_spb@mail.ru,"Возведенная в традициях русского классицизма, по проекту, вероятно, архитектора Фельтена, небольшая, строгая церковь была освящена в 1793г. В советский период ее закрыли, использовали под мастерскую скульптора. В 1988г. усердием духовного пастыря армян Санкт-Петербурга Иеромонаха Езраса Нерсисяна (ныне глава Ново-Нахичеванской и Российской епархии Армянской Апостольской Церкви епископ Езрас) храм в разрушенном, обезображенном виде вернули прихожанам. По завершении реставрации в 1992г. храм был освящен и сегодня в нем совершаются богослужения.",,"""Храм строился по инициативе и на средства главы армянской общины Петербурга, коллежского советника Ивана Лазаревича Лазарева. В 1791 году на русско-шведской войне погиб единственный сын Ивана Лазарева Артемий, и церковь первоначально строилась в качестве семейной усыпальницы. Освящение состоялось в 1793 году. Проект церкви приписывают архитектору Фельтену, который также строил армянские церкви в Петербурге (церковь Сурб Катарине) и Москве (Крестовоздвиженская). Строили храм архитекторы Е. Т. Соколов, А. Порто и С. П. Берников.""",,,"09:00–18:00, ежедневно",,"59.947875533,30.253260955"
5829,Религиозные объекты,Санкт-Петербургский буддийский храм Дацан Гунзэчойнэй,Дацан Гунзэчойнэй,Datsan Gunzechoinei,некоммерческая организация,"Санкт-Петербург, Приморский пр., д.91",+7(981)7559605,dazan.spb.ru,,"""Оригинальный храм из красно-фиолетового гранита – настоящее произведение искусства. Благодаря необычному оттенку облицовочного камня, его часто называют «Аметистовым храмом». Питерский дацан построен в соответствии с канонами архитектуры, которые использовались для соборных храмов Тибета «цогчен-дуган». В начале прошлого века Барановский европеизировал традиционный проект и внес в него элементы модерна. Здание поражает ярким декором фасадов, позолотой и красочными витражами, эскизы для которых создал известный художник Николай Константинович Рерих. В начале истории дацана из мест традиционного распространения учения Будды – Таиланда, Тибета, Монголии и Бурятии сюда привозили редкие святыни и реликвии. В годы опустошения все буддийские артефакты были утрачены, но, благодаря спонсорам, ситуация постепенно исправляется. В главном алтаре дацана можно увидеть скульптуру Будды высотой 2,5 м, сделанную мастерами из Монголии. По старой традиции она изготовлена из папье-маше и покрыта сусальным золотом. Изящный трон Будды из нефрита украшен фигурами мифологических существ.""",,"Санкт-Петербургский буддийский храм был построен в 1909-1915 гг. по инициативе выдающегося бурятского ламы и ученого Агвана Лобсана Доржиева (1853/54-1938). Архитектурный проект храма разработан студентом Института гражданских инженеров Березовским Николаем Матвеевичем и архитектором Барановским Гавриилом Васильевичем, по образцу тибетского соборного храма («цогчен-дуган»), который, однако, был подвергнут существенной европеизации в духе Северного модерна. Строительством руководили архитекторы Г. В. Барановский и Р.А. Берзен (на заключительном этапе), а также специально созданный комитет, в состав которого входили известные российские востоковеды и знатоки буддизма академики В.В. Радлов и С.Ф. Ольденбург, Ф.И. Щербатской, В.Л. Котвич, А.Д. Руднев, кн. Э.Э. Ухтомский, художники Н.К. Рерих и В.П. Шнейдер, а также автор утверждённого проекта Г. В. Барановский. Средства на постройку были отчасти пожертвованы Доржиевым и XIII Далай-ламой, отчасти собраны среди верующих в Бурятии и Калмыкии. Храм был освящен 10 августа 1915 г. и получил тибетское название: Kun la brtse mdzad thub dbang mchhos byung ba’i gnas (Источник Святого Учения Всесострадающего Владыки-Отшельника).",,,Ежедневно с 10:00 до 19:00. Выходной день - среда.,,"59.983492135,30.255973046"
5830,Религиозные объекты,Коломяжская мечеть,Коломяжская мечеть,Kolomyazhskaya Mosque,некоммерческая организация,"Санкт-Петербург, Репищева ул., д.1",,,,"Коломяжскую мечеть, расположившуюся в Приморском районе, на углу Парашютной и Репищевой улиц, спроектировал архитектор Рашат Ахметханов. Ее высота - 23 метра (с полумесяцем - 26), рядом ввысь поднимается 39-метровый минарет. Главный вход (с севера) оформлен трехметровым полумесяцем, а западный - высеченными на мраморных досках изречениями из Корана. Мечеть в Коломягах - квартальная, она предназначена для пяти обязательных ежедневных намазов. По традиции внутри мечеть разделена на мужскую и женскую части. Мусульманки могут молиться на втором этаже, для них сделан отдельный вход. Новая мечеть рассчитана на тысячу прихожан - 700 мужчин и 300 женщин. К тому же изначально все спланировано так, что по праздникам можно совершать намаз и во дворе храма. Пол мечети устлан восточными коврами. А михраб - специальная ниша в стене, указывающая направление на священный для исламистов город Мекку, - изготовлена в Турции. Мечеть  открыта в июле 2009 года.  В этом же здании обосновался исламский институт.  Как и Соборная мечеть, Квартальная построена на средства татар Петербурга для всех мусульман. В Петербурге нет разногласий между мусульманами. Хотя в исламе так же, как, например, и в христианстве, существует множество религиозных направлений (основные группы - шииты и сунниты). Из-за этого на Востоке то и дело вспыхивают войны. Но в нашем городе, по словам зампреда Духовного управления мусульман Камиля Исляева, «все мусульмане - братья, и разночтений священных писаний нет, тем более конфликтов на религиозной почве».",,"Квартальная джума-мечеть построена по заказу Духовного управления мусульман Санкт-Петербурга и Северо-западного региона для верующих, проживающих в Приморском и Выборгском районах города. В получении места под строительство принимала деятельное участие депутат Государственной думы, этнограф, кандидат исторических наук Г.В. Старовойтова, член Татарского национально-культурного общества «Нур». Постановление о строительстве выдано в апреле 2005 года. Генеральным подрядчиком в ходе тендера стало ООО «Профиль», строительство осуществилось на пожертвования. Закладка мечети состоялась 25 июня 2006 года в день проведения общегородского праздника «Петербургский сабантуй». В основание фундамента под михрабом заложена капсула с изречением из Корана. Деревянный резной михраб, указывающий направление на Мекку, выполнен мастерами из Турции. Квартальная мечеть была открыта 16 июля 2009 года. После скоропостижной кончины муфтия Санкт-Петербурга и Северо-Западного региона Жафяра Насибулловича Пончаева (1940-2012) на внеочередном экстренном заседании меджлиса было принято решение о присвоении Джума-мечети имени покойного муфтия, который был инициатором строительства и возглавлял мусульманскую общину Ленинграда - Санкт-Петербурга в течение 35 лет. Мемориальная мечеть - место проведения Всероссийских конкурсов чтецов Корана и Санкт-Петербургского детского конкурса чтецов Корана.",,,Понедельник 12:00-20:00,,"60.017749506,30.281070461"
5831,Религиозные объекты,Соборная мечеть Санкт-Петербурга,Соборная мечеть,Saint Petersburg Mosque,некоммерческая организация,"Санкт-Петербург, Кронверкский пр., д.7",+7(812)4984075,dum-spb.ru,dum-spb@mail.ru,"""Здание Соборной мечети – яркий образец архитектурного стиля, известного как северный модерн. Несмотря на свой явно восточный облик, сооружение прекрасно вписывается в окружающую среду города. Сегодня Соборная мечеть относится к ведению Духовного управления мусульман Санкт-Петербурга и Северо-Западного региона России, обладает статусом памятника архитектуры. В архитектурном облике мечети в Санкт-Петербурге удивительным образом сочетаются лаконичная стилистика модного в начале XX века модерна и изощренный декор магометанского зодчества. Монументальные фасады из нарочито грубо отделанных гранитных плит неожиданно гармонично включают цветастые элементы традиционной культовой архитектуры мусульманского Востока. Образцом для декорирования купола послужил средневековый мавзолей Гур-Эмир в Самарканде.""",,"""Еще в конце XVIII века около 500 нижних чинов и офицеров мусульманского вероисповедания, служивших в войсках столичного гарнизона, подали начальству прошение о возведении в городе молитвенного сооружения. По заказу военного ведомства через несколько лет были разработаны проекты здания. Один из них принадлежал придворному архитектору Луиджи Руска, оставившему яркий след в облике Петербурга. Однако его проект мечети, поданный на высочайшее рассмотрение в 1803 году, остался нереализованным, как и другие предложения. Только в 1898 году столичные власти дозволили учредить мусульманское благотворительное общество, которому было разрешено провести сбор пожертвований на строительство Соборной мечети в Санкт-Петербурге. Почетными членами этой организации были эмир Бухарский и хан Хивинский, внесшие на богоугодное дело значительные денежные взносы. Но реальная возможность для осуществления мечты питерских мусульман открылась лишь в начале следующего столетия, когда под натиском революционных событий, потрясших Россию в 1905-1906 годах, император Николай II подписал манифест о свободе вероисповедания. В мае 1906 года был создан комитет по постройке Соборной мечети в Петербурге во главе с офицером Главного штаба, известным востоковедом Абдулазизом Давлетшиным. На конкурс, объявленный Императорским обществом архитекторов, было представлено 45 проектов. Члены жюри, а в их число входили академики архитектуры и профессора Академии художеств, избрали работу молодого зодчего Николая Васильева. Под строительство мечети были выкуплены земельные участки у Кронверкского проспекта. Фундамент здания заложили в феврале 1910 года в присутствии эмира Бухарского Сеида Абдулахад-хана, генерал-лейтенанта князя Феликса Юсупова, посланника персидского шаха и других почетных гостей, о чем сообщала серебряная табличка, замурованная в основание сооружения. Соборная мечеть приняла верующих уже через три года, но отделочные работы продолжались. В конце 1917 года пришедший к власти Совет народных комиссаров приказал арестовать банковские счета комитета по сооружению мечети в Петрограде. Строительные работы были прерваны. Остались незавершенными интерьеры молитвенного зала. Майоликовые элементы для декора изготовляли на фабрике фирмы «Гельвейн-Ваулин» в Гатчине, но в революционные дни предприятие сгорело и более не возобновлялось, уникальные формы для отливок были уничтожены. Тем не менее, все же удалось завершить керамические кровли, витражное остекление окон, установить у здания красивую чугунную решетку, отлитую еще на дореволюционный заказ. Последним подарком эмира Бухарского стал сотканный в Тебризе огромный ковер, покрывавший 400 м2. Его доставили в Петроград в 1920 году. Вскоре городские власти закрыли мечеть, в ее помещениях устроили склад. Молитвенное здание вернули мусульманской общине в 1955 году. В изрядно поврежденной мечети неоднократно проводились реставрационные работы. Разрушившиеся керамические фрагменты заменялись элементами из глазурованного строительного фарфора. Для обновления настенных орнаментальных росписей приглашались турецкие мастера. Последняя реставрация завершилась в 2015 году.""",,Часы работы не указаны. Можно записаться на экскурсию - +7 (911) 749-66-86.,,,"59.955200609,30.32390419"
5832,Религиозные объекты,Большая хоральная синагога Санкт-Петербуга,Большая хоральная синагога,Grand Choral Synagogue,некоммерческая организация,"Санкт-Петербург, Лермонтовский пр., 2",+7(812)7138186,www.jewishpetersburg.ru,"sinagoga@list.ru, editor@jeps.ru","""Большая Хоральная Синагога в Санкт-Петербурге, расположенная на Лермонтовском проспекте, является архитектурным памятником города и еврейской культуры в целом. В отличие от православной церкви, она выполняет не только религиозную функцию, но и образовательно-просветительскую. Евреи собираются здесь, чтобы помолиться, пообщаться, обменяться опытом. На территории синагоги есть магазин, ресторан, гостевой дом, библиотека, детские сады и школы, пансионы, проводятся занятия и мастер-классы, есть клуб знакомств. Так же каждый желающий может посетить синагогу вместе с экскурсионной группой.Само здание, выполненное в мавританском стиле, выглядит очень величественно. В 1980 оно получило статус памятника архитектурного значения. Если говорить об исконно еврейских традициях постройки таких мест, то можно с уверенностью сказать, что какого-то определенного требования по стилю у них нет. К тому же при строительстве изначально планировали сделать храм более скромным.Само здание выполнено в несколько ярусов, его венчает большой купол сферической формы. Фасад имеет терракотово-красный цвет, он украшен резалитом, а вход оформлен аркой и парными колонами. В здании много окон, как и требует иудейская вера – во время молитв люди должны видеть небо. Окружена синагога кованой оградой.Вестибюль еврейского храма славится своей акустикой – голос будто усиливается, и даже шепотом сказанные слова будут услышаны через 10 метров. На востоке синагоги находятся свитки Торы – по легенде именно они были переданы Моисею. Люстра в главном зале покрыта настоящим серебром. В центре находятся скамьи из ценной породы дерева, некоторые места помечены металлическими табличками с именами самых важных людей еврейской общины. Сам зал светлого оттенка, украшен витражами и белыми колоннами.""",,"""В середине XIX века еврейская община Санкт-Петербурга насчитывала около 10 тысяч человек. У неё было несколько небольших молелен по всему городу, но для удовлетворения религиозных нужд этого было недостаточно. Поэтому по инициативе общины было начато строительство новой синагоги. Главными спонсорами выступили барон Гинцбург и первый председатель еврейской общины города, предприниматель и меценат С. С. Поляков. Проект здания выполнили архитекторы Л. И. Бахман и И. И. Шапошников при участии В. В. Стасова и Н. Л. Бенуа. Строительство велось архитектором А. В. Маловым и было завершено в 1893 году. Здание синагоги построено в восточном, мавританском стиле. Вестибюль обладает уникальной акустикой - слова, произнесённые шёпотом, можно услышать на расстоянии более 10 метров. После постройки синагоги были закрыты все молельни в городе по постановлению Комитета министров 1869 года. Это привело к трудностям для отправления обрядов, так как здание не могло вместить всех в нём нуждающихся. В 1909 году вдоль участка синагоги вместо ветхого деревянного был выстроен каменный забор. 29 июня 1929 года вышло постановление Президиума Ленсовета о закрытии еврейской религиозной общины, 17 января 1930 года решением Президиума Леноблисполкома была закрыта и синагога. Однако после жалобы евреев в высший законодательный орган страны того времени - ВЦИК - 1 июня 1930 года синагога была открыта вновь. С 1943 по 1973 год раввином Ленинградской синагоги был раввин Лубанов. Перед XXII летними Олимпийскими играми 1980 года, проводившимися в Москве, Ленинграде и Таллине, синагога попала в число основных экскурсионных объектов, поэтому в 1978 году государство выделило средства на реконструкцию и ремонт здания. Работы проводились под руководством К. А. Плоткина. В 1991 году по инициативе Общества «Шамир» была открыта дневная школа при синагоге. В мае 2012 года произошёл акт вандализма - на заборе синагоги была нарисована свастик. 8 декабря 2013 года синагога отметила своё 120-летие. К этому событию был написан новый свиток Торы, выпущен «Почтой России» конверт, юбилейная медаль в трёх вариантах (золотая, серебряная, простая). В 12:00 выстрел с Нарышкина бастиона Петропавловской крепости впервые в истории Санкт-Петербурга был дан в честь юбилея Синагоги. Его произвели главный раввин Санкт-Петербурга М.-М. Певзнер и председатель петербургской еврейской общины М. Д. Грубарг.""",,,"""Понедельник - Пятница  09:00–18:00 Свободные туристические посещения Синагоги временно приостановлены. Организованные группы могут посетить Синагогу только по предварительному согласованию с туристическим отделом. +7-921-978-4464 tour@jeps.ru""",,"59.924738347,30.291701736"
5833,Религиозные объекты,Римско-католический Приход Успения Пресвятой Девы Марии в Санкт-Петербурге,Собор Успения Пресвятой Девы Марии,St. Mary's Church,некоммерческая организация,"Санкт-Петербург, ул. 1-я Красноармейская, д.11",+7(812)3164255,www.uspenie.spb.ru,uspenie-spb@mail.ru,"Собор Успения Пресвятой Девы Марии в Санкт-Петербурге дает возможность гостям и горожанам прикоснуться к традициям Католической Церкви в России, познакомиться с единственной в стране Католической Семинарией, насладиться классической музыкой в органном исполнении. Собор Успения Пресвятой Девы Марии является по форме латинским крестом. Он имеет общий вход с Католической Семинарией, закрыт ее зданием со стороны улицы.Находясь в тихом неприметном месте, Собор граничит с Польским садом,  бывшей усадьбой поэта Державина.Собор изнутри выглядит просторно и аскетично, с белыми стенами и сводами, обязательной атрибутикой Католической Церкви.В помещении прекрасная акустика. Есть великолепный орган, который часто собирает на концерты прихожан и поклонников ни с чем не сравнимой органной музыки.",,"""В 1849 году резиденция главы Католической церкви в Российской империи была перенесена из Могилёва в Санкт-Петербург, несмотря на то, что архиепархия сохранила имя «Могилёвская». Строительство собора на территории, примыкающей к резиденции архиепископа шло с 1870 по 1873 годы. Автором первоначального проекта собора был архитектор В. И. Собольщиков, после его смерти строительство заканчивалось под руководством архитектора Е. С. Воротилова. Освящение кафедрального собора архиепископом Антонием Фиалковским состоялось 12 апреля 1873 года. Часть церковной утвари нового собора была перевезена из Могилёва. К 90-м годам XIX века приход Успенского собора увеличился настолько, что встал вопрос о его расширении. Работы по расширению проходили в 1896-1897 годах. Вместимость храма была увеличена с 750 до 1 500 человек. Были пристроены боковые приделы, изменён внутренний интерьер, обновлена роспись. Также были заменены боковые алтари, кроме того, их украсили бронзовыми статуями; 23 декабря 1897 года перестроенный собор был повторно освящён. В 1902 году в здание архиепархиального дома, расположенное рядом с собором, была переведена католическая семинария, а резиденция архиепископа переехала в находящийся неподалёку дом Державина на набережной Фонтанки. Приход Успения постоянно рос и перед революцией 1917 года насчитывал около 15 - 20 тысяч прихожан. После Октябрьской революции для храма Успения, как и для всей Католической церкви в России, наступили тяжёлые времена. В 1918 году была закрыта семинария, в 1920-х годах властями предпринимались несколько попыток закрыть и собор, однако приходу удалось продержаться до 1930 года, когда храм был окончательно закрыт. После Великой Отечественной войны здание собора, пострадавшее от попаданий бомб, было переделано под нужды конструкторского бюро. Восстановление нормальной деятельности Католической церкви в России началось в начале 90-х годов XX века. В 1994 году был вновь зарегистрирован приход Успения Пресвятой Девы Марии. В сентябре 1995 года здание храма было возвращено Церкви, в том же году было возвращено и здание семинарии, куда переехала из Москвы высшая католическая семинария «Мария - Царица Апостолов». Масштабные работы по реставрации храма шли более двух лет, 16 февраля 1997 года в ещё не до конца отреставрированном соборе возобновились богослужения, а 24 мая 1998 года архиепископ Тадеуш Кондрусевич освятил собор Успения Пресвятой Девы Марии.""",,,Воскресенье: 8:30-20:00 Понедельник-суббота: 8:30-13:00 и 14:00-20:00,,"59.916493579,30.312087565"
5834,Религиозные объекты,Монастырский храм Святого Антония Чудотворца,Монастырь святого Антония,St. Anthony the Wonder Worker Monastery Cathedral,некоммерческая организация,"Санкт-Петербург, ул. 9-я Красноармейская, д.10",7 (812) 713-09-64,http://spb.francis.ru/,antonius.spb@gmail.com,"Здание монастыря построено в 2008 году, архитектор Леонардо Бруджиотти. Фасады скромные, в монастырском духе.",,"Здание монастыря находится на 9-й Красноармейской улице, 10 в Адмиралтейском - районе. Ранее в нём располагался производственный цех, а до революции общежитие Общества святой Ксении для бедным женщинам в Петрограде. Приют был предназначен для 70 учащихся и трудящихся девиц. Францисканцы приобрели сооружение в 1990-х годах, когда в городе возобновила работу Высшая духовная католическая семинария. В начале 2000-х прошла масштабная реконструкция. Старое сооружение фактически было разобрано, а на его месте сооружён монастырский комплекс площадью 1,6 тыс. кв метров с кельями, часовней и служебными помещениями. Внутри обустроен дворик-патио. Освящение храма в монастыре провёл председатель Конференции католических епископов России митрополит Паоло Пецци. Сейчас при монастыре действует Центр христианской культуры и францисканской духовности.",,,"пн,вт,чт,пт 07:30–18:30; сб,вс 08:00–19:00",,"59.913421983,30.299903128"
5835,Религиозные объекты,Базилика Святой Екатерины Александрийской,,Catholic Church of St. Catherine,некоммерческая организация,"Санкт-Петербург, Невский пр., д.32-34",+7(812)5715795,catherine.spb.ru,parish@catherine.spb.ru,"""Еще в начале XVIII века католическое вероисповедание в России насчитывало единицы своих сторонников. Прозападная политика, проводимая Петром I, привела к появлению в стране большого количества иностранных специалистов, многие из которых были католиками. Необходимость в постройке культовых сооружений стала очевидна. Базилика Святой Екатерины Александрийской строилась под руководством разных архитекторов, поэтому сооружение представляет собой некоторый архитектурный компромисс. Если посмотреть на план здания, можно увидеть католический крест с поперечным нефом. Длина храма – сорок четыре метра. Главный фронтон представлен аркой, опирающейся на колонны. На парапете, расположенном над фасадом, находятся фигуры четырех апостолов и группа ангелов, несущих крест. Это старейшие в городе скульптуры, хранящиеся под открытым небом. Интерьер базилики полностью уничтожили пожары, поэтому то, что мы видим сегодня – результат работы реставраторов по сохранившимся чертежам. Выглядит базилика внутри достаточно скромно. Внимание привлекает огромный крест, чудом сохранившийся со времен открытия храма. Стены, выкрашенные в светло-желтый цвет, вызывают ощущение льющегося со всех сторон солнечного света.""",,"Католический приход святой Екатерины Александрийской был основан в 1716 году; в 1738 году императрица Анна Иоанновна подписала разрешение на возведение католической церкви на Невской перспективе (Невском проспекте), однако строительство шло с большими проблемами. Первоначальный проект был разработан Пьетро Антонио Трезини, начавшиеся под его руководством работы были прекращены в 1751 году после отъезда зодчего на родину. Попытка закончить строительство в 60-х годах XVIII века, предпринятая архитектором Ж. Б. Валлен-Деламотом, также была неудачной. Всё это время община служила во временном храме, зал для которого был оборудован в соседнем доме (на месте современного дома 34 на Невском проспекте). Лишь в 1782 году строительство храма было закончено под руководством итальянских архитекторов Минчиани и А. Ринальди, последний был старостой общины. 7 октября 1783 года храм, получивший статус собора, был освящён в честь святой Екатерины Александрийской, покровительницы императрицы Екатерины II.",,,пн-сб 08:00–20:00; вс 08:30–20:00,,"59.935612312,30.329793558"
