ID в ИС ГТИБД,Название,Название (англ.),Тип,Адрес,Телефоны,Сайт,Электронная почта,Описание,Описание (англ.),Доступно для людей с ограниченными возможностями,Геопозиция
3321,Выставочные залы Особняка Румянцева,Exhibition halls in Rumyantsev mansion,Военно-исторический,"190000, Санкт-Петербург, Английская наб., 44","+7 (812) 571-75-44, 571-08-48",http://www.spbmuseum.ru/themuseum/museum_complex/rumyantsev_mansion/,shmakova@spbmuseum.ru,"Особняк графа Румянцева с самого начала был одним из центров культурной жизни Петербурга. Граф был просветителем и меценатом, он собрал уникальную коллекцию различных древностей, старинных рукописей, церковных книг и прочих памятников российской истории и культуры.","From the very beginning, the mansion of Count Rumyantsev was one of the centers of the cultural life of Petersburg. The Count was an enlightener and a philanthropist, he gathered a unique collection of various antiquities, ancient manuscripts, church books and other monuments of Russian history and culture. The history of the mansion from its construction in 1730s – 1740s till the end of the twentieth century is shown by documents, architectural designs, photographs, portraits and family coat of arms of its owners, materials on restoration works in the building.",нет,"59.932623,30.289524"
4388,"Выставочный зал Правительства Ленинградской области ""Смольный""","Exhibition Hall of the Government of Leningrad region ""Smolny""",ведомственное учреждение,"191311, Санкт-Петербург, ул. Смольного, 3",+7 (812) 579-57-22,https://www.lenoblmus.ru/,mus_agency_obl@lenoblmus.ru,"Здесь проводятся выставки, представляющие культурную жизнь Ленинградской области – культуру и быт населяющих ее народов, историю городов, замков, крепостей, поместий и выдающихся деятелей русской истории и культуры.","The exhibitions dedicated to the cultural life of the Leningrad region are held here - one can learn about the culture and life of the region's peoples, history, towns, castles, fortresses, estates and prominent figures of Russian history and culture.",нет,"59.951182,30.396707"
4390,"Выставочный центр ""Ленэкспо""",Lenexpo Exhibition Complex,негосударственное учреждение,"199106, Санкт-Петербург, Большой пр. В.О., 103",+7 (812) 240-40-40,www.lenexpo.ru,info@expoforum.ru,"«Ленэкспо» сегодня – один из крупнейших комплексов в России и самый большой конгрессный и выставочный центр на Северо-Западе, расположенный на берегу Финского залива в центре международных торговых путей.",Today “Lenexpo” Exhibition Complex is one of the biggest specialised exhibition complexes in Russia and the largest conference and exhibition centre in the North-West of our country.,нет,"59.931774,30.235047"
4391,Выставочный центр Санкт-Петербургского Союза художников,Exhibition Center of the Saint-Petersburg Union of Artists,негосударственное учреждение,"190000, Санкт-Петербург, Большая Морская ул., 38",+7 (812) 314-30-60; +7 (812) 315-74-26,https://spbsh.ru/,spb_cx@mail.ru,"Выставочный Центр Санкт-Петербургского Союза Художников приглашает всех ценителей истинного искусства посетить художественные выставки, концерты, творческие конкурсы и инсталляции. Ежегодно в стенах дома на Большой Морской проходят горячо любимые петербуржцами Осенняя и  Весенняя выставки, ""Андреевский Флаг"", ""Русский Север"", ""День Победы"", ""Общегородская выставка детского творчества"".","The Exhibition Center of the St. Petersburg Union of Artists invites all connoisseurs of true art to visit art exhibitions, concerts, creative competitions and installations. Within the precincts of the house several annual exhibitions take place, among them favourite ""Autumn"" and ""Spring"" exhibitions,  ""Andreevsky Flag"", ""Russian North"", ""Victory Day"", ""Blockade"".",нет,"59.93296,30.311386"
4424,"Государственный музей городской скульптуры, Новый выставочный зал",The New Exhibition Hall of the State Museum of the Urban Sculpture,гос. городское учреждение,"191167, Санкт-Петербург, Невский пр., 179/2 (вход с Чернорецкого пер., 2)",+7 (812) 274-25-79,https://gmgs.ru/nvz,new.arthall@gmgs.ru,"Новый выставочный зал известен в городе как площадка для проведения разнообразных креативных выставочных проектов. Здесь проходят тематические экспозиции из фондов музея, персональные выставки российских художников и скульпторов, выставки современного искусства, международные проекты, презентации, кинопоказы.","The New exhibition hall is known in our city as a venue for a variety of creative exhibitions. Themed museum exhibitions, personal exhibitions of Russian painters and sculptors, exhibitions of contemporary art, international projects, presentations, film screenings are held here.",нет,"59.923085,30.385137"
4425,"Государственный музейно-выставочный центр ""РОСФОТО""",The State Russian Museum and Exhibition Centre ROSPHOTO,гос. федеральное учреждение,"191186, Санкт-Петербург, Большая Морская ул., 35",+7(812) 500 7000    +7(812) 670 7691,www.rosphoto.org,office@rosphoto.org,"Государственный музейно-выставочный центр РОСФОТО основан в 2002 году Министерством культуры Российской Федерации. РОСФОТО осуществляет деятельность по всем направлениям актуальной проблематики, связанной с фотографией и изображением: выставочные и научно-исследовательские программы в области визуальной культуры. В своей деятельности Центр активно сотрудничает c авторитетными международными музейными и архивными организациями и культурными институтами, с российскими музеями и архивами. РОСФОТО состоит в Международном союзе музеев ICOM.","The State Museum and Exhibition Center ROSPHOTO was founded in 2002 by the Ministry of Culture of the Russian Federation. ROSPHOTO carries out activities in all areas of current issues related to photography and image: exhibition and research programs in the field of visual culture. In its activity, the Center actively cooperates with authoritative international museum and archival organizations and cultural institutions, with Russian museums and archives. ROSPHOTO is part of the International Union of Museums ICOM.",нет,"59.933406,30.309921"
4426,Манеж Кадетского корпуса- Банкетный Зал,Manege of the Cadet Corps,Негосударственное учреждение,"199034, Санкт-Петербург, Университетская наб., 13",79219676860.0,Https://www.restorating.ru/spb/catalogue/maniezh-piervogho-kadietskogho-korpusa,Avip65@yandex.ru,"Площадка для событий совершенно разного типа: конференций, модных показов, концертов, банкетов, выставок, выпускных и пр.","The space for different kinds of events: conferences, fashion shows, concerts, banquets, exhibitions, graduations and etc.",Нет,"59.939271,30.298162"
4427,"Музейно-выставочный центр ""Петербургский Художник""","Museum and Exhibition center ""Saint Petersburg Artist""",Негосударственное учреждение,"190000, Санкт-Петербург, наб. Р. Мойки, 100",+7 (812) 314-06-09; +7 (812) 571-68-84,Www.piter-art.com,Info@piter-art.com,"«Петербургский художник» - крупнейшая коллекция реалистического искусства в Санкт-Петербурге, более 2500 работ. У нас вы найдете наиболее яркие произведения Ленинградской школы живописи второй половины XX века. Среди авторов - Виктор Орешников, Борис Угаров, Виктор Рейхет, Иван Варичев, Николай Галахов, Маргарита Рубан, Георгий Татарников, Николай Репин, Энгельс Козлов и многие другие. Работы этих художников также находятся в фондах Русского музея и Третьяковской галереи. Цель центра - познакомить широкую публику с работами лучших представителей русского реалистического направления в живописи и рисунке. Выставки петербургских художников проводятся каждые три месяца.","The St. Petersburg Artist is the largest collection of realistic art in St. Petersburg, with more than 2,500 works. Here you will find the most striking works of the Leningrad school of painting of the second half of the XX century. Among the authors are Viktor Oreshnikov, Boris Ugarov, Viktor Reichet, Ivan Varichev, Nikolai Galakhov, Margarita Ruban, Georgy Tatarnikov, Nikolai Repin, Engels Kozlov and many others. The works of these artists are also in the collections of the Russian Museum and the Tretyakov Gallery.The purpose of the center is to acquaint public with the works of the best representatives of Russian Realism in painting and drawing. Exhibitions of St. Petersburg artists are held every three months.",Нет,"59.927594,30.294919"
9254,"Конгрессно-выставочный центр ""ЭКСПОФОРУМ""",Expoforum Convention and Exhibition centre,Негосударственное учреждение,"Адрес: Санкт-Петербург, Петербургское шоссе, 64/1",+7 (812) 240-40-40 доб.2322,Www.expoforum.ru,Info@expoforum.ru,"ЭКСПОФОРУМ новый конгрессно-выставочный центр, открывшийся в Санкт-Петербурге 7 октября 2014 года. Это самая современная в Европе и России площадка для проведения деловых и развлекательных мероприятий любого масштаба и формата - выставок, конгрессов, форумов, спортивных и культурных событий. Конгрессно-выставочный центр «ЭКСПОФОРУМ» - это самая крупная специализированная площадка в Санкт-Петербурге. В его составе: три выставочных павильона, конгресс-центр общей вместимостью 30 000 человек (68 конференц-залов), первые в Петербурге отели мирового бренда HILTON, бизнес-центр, таможенно-логистический комплекс, кафе, рестораны и другие объекты сопутствующей инфраструктуры. Оператором площадки выступает компания ЭкспоФорум-Интернэшнл. Компания ЭкспоФорум-Интернэшнл оказывает туристические услуги - индивидуальные и групповые обзорные экскурсии по Санкт-Петербургу и пригородам, экскурсии по рекам и каналам, услуги гидов-переводчиков, посещение музеев и дворцов.","EXPOFORUM is a new convention and exhibition center that opened in St. Petersburg on October 7, 2014. It is the most modern platform in Europe and Russia for holding business and entertainment events of any scale and format - exhibitions, congresses, forums, sports and cultural events.The EXPOFORUM Convention and Exhibition Center is the largest specialized venue in St. Petersburg. In its composition: three exhibition pavilions, a congress center with a total capacity of 30,000 people (68 conference halls), the first hotels of the world brand HILTON in St. Petersburg, a business center, customs and logistics complex, cafes, restaurants and other related infrastructure. The operator of the site is ""ExpoForum International"". The company ""ExpoForum International"" provides tourist services – individual and group sightseeing tours of St. Petersburg and its suburbs, river and canal tours, guide-interpreter services, visits to museums and palaces.",Нет,"59.76125,30.353705"
9256,Выставочный зал ЦБС Московского района,Exhibition Hall of the Central library system in Moskovskiy district,гос. учреждение,"196070, Санкт-Петербург, пл. Чернышевского, 6",+7 (812) 242-35-77,https://www.cbs-msk.ru/,info@vabi.spb.ru,"Выставочный зал филиала № 3, являющийся уже много лет неотъемлемой частью ЦБС и всей системы учреждений культуры Московского района и в дальнейшем будет стремиться создавать условия для воспитания и реализации потенциала творчески ориентированных людей.","Exhibition hall is an integral part of the Central library system and the whole system of cultural institutions of the Moscovskiy district. In the future, it will strive to create conditions for the upbringing and realization of the potential of creatively oriented people.",нет,"59.868528,30.317395"
